date,open,high,low,close,volume
2024-10-25,58.0100,58.4800,57.5600,57.7000,53944541
2024-10-28,57.7800,58.0600,57.0800,57.5000,57880987
2024-10-29,57.5000,58.4600,57.4400,57.6300,62010028
2024-10-30,57.4900,57.9100,55.6800,55.9700,90747926
2024-10-31,55.9600,56.8000,55.4000,55.9200,75763009
2024-11-01,56.1500,57.0000,56.0000,56.1500,65013925
2024-11-04,56.1700,56.9700,55.9300,56.9700,53073970
2024-11-05,56.8200,58.8800,56.2800,58.7500,120114422
2024-11-06,58.8900,59.0500,56.9500,57.4900,126251828
2024-11-07,57.0000,61.0000,56.9000,60.8400,186426320
2024-11-08,61.2000,61.4900,59.0100,59.1200,132299025
2024-11-11,58.1300,58.5200,57.5200,58.4000,91716007
2024-11-12,58.4000,58.9700,56.8800,57.0100,96289275
2024-11-13,56.7000,57.5000,56.6200,57.1900,61824493
2024-11-14,57.1900,58.0900,56.9000,57.0000,66323183
2024-11-15,56.9000,57.4800,55.8000,55.8000,78059714
2024-11-18,56.1000,57.1600,55.3800,55.7600,68429646
2024-11-19,56.0000,56.1200,55.1000,55.6100,52819300
2024-11-20,55.6200,55.8000,55.2000,55.4600,46997145
2024-11-21,55.4900,55.6700,55.1200,55.4900,41024489
2024-11-22,55.4700,55.4700,53.0000,53.0300,100680813
2024-11-25,53.0000,53.2500,52.1400,52.5700,70269826
2024-11-26,52.5000,53.2700,52.3700,53.0500,40761823
2024-11-27,53.0600,53.6000,52.7900,53.5500,44446366
2024-11-28,53.5700,53.9900,52.8300,53.1700,42550213
2024-11-29,53.1500,54.4200,53.0400,53.2500,56357055
2024-12-02,53.2000,54.2300,53.1800,54.0100,44960590
2024-12-03,53.8500,54.6100,53.5500,54.4300,47005763
2024-12-04,54.1800,54.3400,53.7100,53.9300,38188736
2024-12-05,53.6900,54.0500,53.4900,53.6800,29588882
2024-12-06,53.7900,55.6900,53.7800,55.1200,78983681
2024-12-09,54.9500,55.3000,54.4500,54.8300,51046345
2024-12-10,56.9000,57.1800,55.5000,55.6200,100098350
2024-12-11,55.6100,55.9300,54.8800,54.9000,50478424
2024-12-12,54.9600,55.8500,54.7000,55.5800,52633585
2024-12-13,55.2000,55.2100,53.6800,53.7400,88709588
2024-12-16,53.7100,53.9900,52.9300,53.1200,65859184
2024-12-17,52.9000,53.4700,52.7400,53.0100,53769372
2024-12-18,53.3300,53.6800,52.8800,52.9400,50446143
2024-12-19,52.6000,52.9400,52.3500,52.8900,40549628
2024-12-20,52.8900,53.2300,52.5200,52.6200,46196543
2024-12-23,52.6200,53.4800,52.6200,53.1000,55550547
2024-12-24,53.0800,53.8300,53.0000,53.7800,49560916
2024-12-25,53.8100,54.3100,53.5700,53.9000,41739896
2024-12-26,53.8900,53.9400,53.3600,53.4500,37922170
2024-12-27,53.4500,53.7500,52.7100,53.2700,53775719
2024-12-30,53.2200,53.9000,53.2100,53.9000,53343783
2024-12-31,53.7900,54.0200,52.6500,52.6500,67711790
2025-01-02,52.7000,52.7300,50.3900,50.7100,94857917
2025-01-03,51.0000,51.0900,50.0800,50.3000,55135185
2025-01-06,50.5500,50.6200,49.8300,50.3400,41348951
2025-01-07,50.1900,50.3600,49.8100,50.1700,39278717
2025-01-08,50.1800,50.5800,49.5500,50.3000,51038304
2025-01-09,50.2600,50.4100,49.8000,49.8100,40082112
2025-01-10,49.8200,50.0800,48.9000,48.9500,52270371
2025-01-13,48.4800,48.8000,48.1000,48.5900,51139315
2025-01-14,48.5900,49.5800,48.5000,49.3600,61577440
2025-01-15,49.2500,49.6600,48.9100,49.1100,45802852
2025-01-16,49.3000,49.7500,48.9300,49.2500,41576107
2025-01-17,49.1000,49.5700,48.7700,49.3800,46074666
2025-01-20,49.7200,50.3000,49.6600,49.8100,49173607
2025-01-21,50.2000,50.3900,49.6600,49.9000,40995081
2025-01-22,49.7200,49.9200,48.8500,48.9500,53078046
2025-01-23,49.8200,51.4500,49.7800,50.3700,96910455
2025-01-24,50.1800,51.3700,50.1000,50.8600,61677886
2025-01-27,51.0300,51.6200,50.8100,50.8500,52454748
2025-02-05,50.9800,51.0000,49.6700,49.7200,58307230
2025-02-06,49.7300,50.5000,49.6800,50.2500,41503724
